ID;Objeto;Decisão;Instância;Data Citação;Data Decisão;Status;Justiça;UF;Tribunal;Num. Litisconsortes
ESP.004.335;Objeto 11;Desfavorável;2;13/03/2014;;Ativo;Est;SP;4 VARA CÍVEL DE CUBATÃO;0
ESP.004.335;Objeto 12;Desfavorável;2;13/03/2014;;Ativo;Est;SP;4 VARA CÍVEL DE CUBATÃO;0
ESP.004.337;Objeto 25;Desfavorável;1;14/03/2014;;Ativo;Est;SP;4 VARA CÍVEL DE SANTOS;0
ESP.004.337;Objeto 25;Favorável;2;14/03/2014;;Ativo;Est;SP;4 VARA CÍVEL DE SANTOS;0
ESP.004.343;Objeto 10;Favorável;1;19/03/2014;;Ativo;Est;SP;6 VARA CÍVEL DE SANTOS;0
ESP.004.343;Objeto 10;Favorável;2;19/03/2014;;Ativo;Est;SP;6 VARA CÍVEL DE SANTOS;0
ESP.004.344;Objeto 9;Favorável;1;20/03/2014;;Ativo;Est;SP;12 VARA CÍVEL DE SANTOS;0
ESP.004.344;Objeto 9;Favorável;2;20/03/2014;;Ativo;Est;SP;12 VARA CÍVEL DE SANTOS;0
ESP.004.352;Objeto 8;Desfavorável;1;24/03/2014;;Ativo;Est;SP;13 VARA CÍVEL DE SÃO PAULO;0
ESP.004.352;Objeto 10;Desfavorável;1;24/03/2014;;Ativo;Est;SP;13 VARA CÍVEL DE SÃO PAULO;0
ESP.004.352;Objeto 8;Favorável;2;24/03/2014;;Ativo;Est;SP;13 VARA CÍVEL DE SÃO PAULO;0
ESP.004.352;Objeto 10;Favorável;2;24/03/2014;;Ativo;Est;SP;13 VARA CÍVEL DE SÃO PAULO;0
ESP.004.354;Objeto 10;Favorável;1;25/03/2014;;Ativo;Est;SP;8 VARA CÍVEL DE SANTOS;0
ESP.004.354;Objeto 10;Favorável;2;25/03/2014;;Ativo;Est;SP;8 VARA CÍVEL DE SANTOS;0
ESP.004.355;Objeto 25;Favorável;1;25/03/2014;;Ativo;Est;SP;8 VARA CÍVEL DE SANTOS;0
ESP.004.355;Objeto 25;Favorável;2;25/03/2014;;Ativo;Est;SP;8 VARA CÍVEL DE SANTOS;0
ESP.004.356;Objeto 25;Favorável;1;25/03/2014;;Ativo;Est;SP;9 VARA CÍVEL DE SANTOS;0
ESP.004.362;Objeto 12;Favorável;1;27/03/2014;;Ativo;Est;SP;3 VARA CÍVEL DE SANTOS;0
ESP.004.364;Objeto 11;Desfavorável;1;28/03/2014;;Ativo;Est;SP;5 VARA CÍVEL DE SANTOS;0
